sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6
0.520000025,0.035719246,-1.523029685,0.010582312,-1.551975608,0.00704556,0.029027177,0.190610157,0.201091607,0.001227035,0.063864958,0.069274547,-0.03502027,0.594981522,0.567525325,-0.088645542,-0.157096652,0.219057363,-1.297729113,-0.030676305,2.428534031,-0.543132424,-0.139994919,0.305075914,-0.491545498
0.540000026,0.039798111,-1.518799186,0.01049666,-1.550419211,0.008450359,0.027965499,0.202060773,0.212900522,0.000936159,0.068420703,0.072085635,-0.061321576,0.534755167,0.655881365,0.047158791,-0.015540866,0.113253209,-1.281727558,-0.565048039,4.989061356,0.649134159,0.03997007,0.145727158,-0.479989439
0.560000027,0.044094056,-1.514305472,0.010434135,-1.548759818,0.009916931,0.026386334,0.2122903,0.2264742,0.003334816,0.07573396,0.072991157,-0.087007965,0.473632714,0.740112464,0.180416119,0.159113064,0.010584969,-1.241414749,-1.083395362,7.451412678,1.792237282,0.217946187,-0.011632301,-0.462985098
0.580000028,0.048581451,-1.509510398,0.01044686,-1.54696691,0.011391431,0.024311734,0.221272484,0.241790295,0.008294301,0.085043992,0.072133363,-0.111528476,0.413779771,0.818502445,0.304772284,0.334503893,-0.083432901,-1.17664357,-1.565330744,9.674750328,2.825552702,0.379069924,-0.153187037,-0.441194504
0.600000029,0.053234667,-1.504375815,0.010583087,-1.545021415,0.012824506,0.021772875,0.22903439,0.258755075,0.015577165,0.095537595,0.069697412,-0.134374581,0.357220365,0.889294419,0.414603109,0.483803172,-0.164593122,-1.088563235,-1.984779596,11.53962135,3.687150478,0.51495558,-0.267868757,-0.415415138
0.62000003,0.058028311,-1.498878837,0.010887428,-1.542919517,0.014177412,0.018809153,0.235655484,0.277200266,0.024851377,0.106495335,0.065905462,-0.155106737,0.305842254,0.950573726,0.505254336,0.589498071,-0.230090997,-0.979695178,-2.318833351,12.93052864,4.32144165,0.623613298,-0.348102987,-0.386526406
0.640000031,0.062941879,-1.492988944,0.011393293,-1.540626884,0.015423626,0.015466107,0.24126339,0.296886949,0.035707357,0.117379517,0.061012737,-0.173373923,0.261363467,1.000301418,0.573202162,0.644663091,-0.278433343,-0.853817618,-2.556177855,13.77885056,4.694475174,0.690008938,-0.389451206,-0.355478078
0.660000031,0.067956775,-1.486690879,0.01212494,-1.538143516,0.016548604,0.011795057,0.246026433,0.317516231,0.04767745,0.127862794,0.055302575,-0.188925466,0.225264432,1.036474577,0.616137709,0.651990823,-0.309227461,-0.715698872,-2.683916092,14.01465225,4.778957367,0.7157498,-0.390452057,-0.323283792
0.680000032,0.073058218,-1.479965568,0.013099327,-1.535454154,0.017547697,0.0078506,0.250143542,0.338745394,0.060257261,0.137807972,0.049078868,-0.201615702,0.198699707,1.057364432,0.632984622,0.621232013,-0.322921645,-0.570738192,-2.693401814,13.5933876,4.554851532,0.695631146,-0.351705372,-0.290955365
0.700000033,0.078235954,-1.47281301,0.01432307,-1.532570243,0.018421203,0.003689392,0.253832415,0.360207551,0.072928111,0.147216272,0.04265571,-0.211402851,0.182408355,1.06177228,0.623861287,0.565869118,-0.320558069,-0.424577741,-2.585081339,12.53061295,4.02077055,0.634429693,-0.274178654,-0.259514451
