"M[1,1]","M[1,2]","M[1,3]","M[1,4]","M[1,5]","M[1,6]","M[2,1]","M[2,2]","M[2,3]","M[2,4]","M[2,5]","M[2,6]","M[3,1]","M[3,2]","M[3,3]","M[3,4]","M[3,5]","M[3,6]","M[4,1]","M[4,2]","M[4,3]","M[4,4]","M[4,5]","M[4,6]","M[5,1]","M[5,2]","M[5,3]","M[5,4]","M[5,5]","M[5,6]","M[6,1]","M[6,2]","M[6,3]","M[6,4]","M[6,5]","M[6,6]"
10.0622456994365,-0.700511198778177,-0.184701692588177,-0.00702445256596083,0.0165182801290283,-0.00012937544805363,-0.700511198778177,11.2870740210744,4.37359364751443,0.340339613587633,-0.0181355638472317,0.000155934547308483,-0.184701692588177,4.37359364751443,2.10100615522447,0.18663731278817,-0.00965453529278858,0.000155934547308483,-0.00702445256596083,0.340339613587633,0.18663731278817,0.0422445056158697,-0.00170026410102212,0.000155934547308483,0.0165182801290283,-0.0181355638472317,-0.00965453529278858,-0.00170026410102212,0.007366573775595,-2.62509387987108e-16,-0.00012937544805363,0.000155934547308483,0.000155934547308483,0.000155934547308483,-2.62509387987108e-16,0.000204525
10.1220734863514,-0.687804046262771,-0.18230021840602,-0.00627995495605588,0.0165695832723288,-0.000131235522259688,-0.687804046262771,11.2863844541851,4.37284019666239,0.33965527510406,-0.0179592409574501,0.000154671472034851,-0.18230021840602,4.37284019666239,2.1001888204097,0.186236380757425,-0.0095588137665038,0.000154671472034851,-0.00627995495605588,0.33965527510406,0.186236380757425,0.0422599763691486,-0.00168649190248293,0.000154671472034851,0.0165695832723288,-0.0179592409574501,-0.0095588137665038,-0.00168649190248293,0.007366573775595,-2.6111003620633e-16,-0.000131235522259688,0.000154671472034851,0.000154671472034851,0.000154671472034851,-2.6111003620633e-16,0.000204525
10.1802222170004,-0.675217661640346,-0.179878131315534,-0.005543062363074,0.0166173327996577,-0.00013302509571835,-0.675217661640346,11.2855181394277,4.37198615397403,0.338952299230227,-0.01778413929999,0.000153423359673839,-0.179878131315534,4.37198615397403,2.09934704979039,0.185823077389823,-0.00946362670487281,0.000153423359673839,-0.005543062363074,0.338952299230227,0.185823077389823,0.0422751402532537,-0.0016728828551095,0.000153423359673839,0.0166173327996577,-0.01778413929999,-0.00946362670487281,-0.0016728828551095,0.007366573775595,-2.59689496570671e-16,-0.00013302509571835,0.000153423359673839,0.000153423359673839,0.000153423359673839,-2.59689496570671e-16,0.000204525
10.2363312048502,-0.662836483435147,-0.177456054810833,-0.00481618416995111,0.0166615297975122,-0.000134741196603989,-0.662836483435147,11.2844909917741,4.37104093382587,0.338231920971347,-0.0176106609552023,0.00015219305783345,-0.177456054810833,4.37104093382587,2.09848375714766,0.185398844695216,-0.00936922976651525,0.00015219305783345,-0.00481618416995111,0.338231920971347,0.185398844695216,0.0422899675067732,-0.00165946800837574,0.00015219305783345,0.0166615297975122,-0.0176106609552023,-0.00936922976651525,-0.00165946800837574,0.007366573775595,-2.58248175769711e-16,-0.000134741196603989,0.00015219305783345,0.00015219305783345,0.00015219305783345,-2.58248175769711e-16,0.000204525
10.2906775506433,-0.650616193005408,-0.175021097680126,-0.00409869622962006,0.0167023079878512,-0.000136385239987596,-0.650616193005408,11.2833221682463,4.3700158616969,0.3374965368829,-0.0174389866540028,0.000150981082753682,-0.175021097680126,4.3700158616969,2.09760243641755,0.18496542916032,-0.00927574480205215,0.000150981082753682,-0.00409869622962006,0.3374965368829,0.18496542916032,0.0423044571670887,-0.00164625299120965,0.000150981082753682,0.0167023079878512,-0.0174389866540028,-0.00927574480205215,-0.00164625299120965,0.007366573775595,-2.56786329383329e-16,-0.000136385239987596,0.000150981082753682,0.000150981082753682,0.000150981082753682,-2.56786329383329e-16,0.000204525
10.3430704982783,-0.638609172318141,-0.172587682672862,-0.00339283431809329,0.0167398859290556,-0.000137956042681585,-0.638609172318141,11.2820304137596,4.36892226625352,0.336748818286173,-0.0172694511273421,0.000149789221628923,-0.172587682672862,4.36892226625352,2.09670700001741,0.184524779064935,-0.0091833776049373,0.000149789221628923,-0.00339283431809329,0.336748818286173,0.184524779064935,0.0423185933764613,-0.00163325729064928,0.000149789221628923,0.0167398859290556,-0.0172694511273421,-0.0091833776049373,-0.00163325729064928,0.007366573775595,-2.55303628643944e-16,-0.000137956042681585,0.000149789221628923,0.000149789221628923,0.000149789221628923,-2.55303628643944e-16,0.000204525
10.3936242997211,-0.626805042444655,-0.170151052391743,-0.0026984484016685,0.0167742261317066,-0.000139453741493789,-0.626805042444655,11.2806319311069,4.36776976515166,0.33599044818581,-0.0171023400432132,0.000148619254527691,-0.170151052391743,4.36776976515166,2.0958004804664,0.18407840307238,-0.00909231077702,0.000148619254527691,-0.0026984484016685,0.33599044818581,0.18407840307238,0.0423323609423568,-0.00162050031603433,0.000148619254527691,0.0167742261317066,-0.0171023400432132,-0.00909231077702,-0.00162050031603433,0.007366573775595,-2.53800539568045e-16,-0.000139453741493789,0.000148619254527691,0.000148619254527691,0.000148619254527691,-2.53800539568045e-16,0.000204525
10.4424558596283,-0.615192044519604,-0.167705335460544,-0.00201526826786529,0.016805244533543,-0.000140878299388352,-0.615192044519604,11.2791421925142,4.36656759768235,0.335222990808907,-0.0169379592998124,0.000147473222837369,-0.167705335460544,4.36656759768235,2.09488588412055,0.18362779551945,-0.0090027388024943,0.000147473222837369,-0.00201526826786529,0.335222990808907,0.18362779551945,0.0423457421823471,-0.00160800432604797,0.000147473222837369,0.016805244533543,-0.0169379592998124,-0.0090027388024943,-0.00160800432604797,0.007366573775595,-2.52277816453092e-16,-0.000140878299388352,0.000147473222837369,0.000147473222837369,0.000147473222837369,-2.52277816453092e-16,0.000204525
10.4894025801712,-0.603819782026309,-0.165262157124666,-0.00134454086502277,0.0168331833849882,-0.000142231224944795,-0.603819782026309,11.2775753498404,4.36532413265271,0.334447544534807,-0.0167763726589691,0.000146351258481373,-0.165262157124666,4.36532413265271,2.09396579673499,0.183174251767475,-0.00891472794052149,0.000146351258481373,-0.00134454086502277,0.334447544534807,0.183174251767475,0.0423587420639562,-0.00159577075914404,0.000146351258481373,0.0168331833849882,-0.0167763726589691,-0.00891472794052149,-0.00159577075914404,0.007366573775595,-2.50735344834387e-16,-0.000142231224944795,0.000146351258481373,0.000146351258481373,0.000146351258481373,-2.50735344834387e-16,0.000204525
10.5345170380368,-0.592691298195753,-0.162821740104698,-0.000686546038148076,0.0168581818568649,-0.000143513957518554,-0.592691298195753,11.2759462941102,4.36404825383142,0.333665835542765,-0.0166177238447419,0.000145253978590438,-0.162821740104698,4.36404825383142,2.09304309482261,0.182719209732482,-0.00882837789096428,0.000145253978590438,-0.000686546038148076,0.333665835542765,0.182719209732482,0.0423713599063591,-0.00158380634433323,0.000145253978590438,0.0168581818568649,-0.0166177238447419,-0.00882837789096428,-0.00158380634433323,0.007366573775595,-2.4917386956075e-16,-0.000143513957518554,0.000145253978590438,0.000145253978590438,0.000145253978590438,-2.4917386956075e-16,0.000204525
10.5778505350067,-0.581810050015903,-0.160384859765334,-4.19410939038068e-05,0.016880331356498,-0.000144726857049804,-0.581810050015903,11.2742707473785,4.3627496263207,0.332880392916054,-0.0164623084183199,0.00014418306255708,-0.160384859765334,4.3627496263207,2.09212138653293,0.182264467145031,-0.00874386572624414,0.00014418306255708,-4.19410939038068e-05,0.332880392916054,0.182264467145031,0.0423835830211293,-0.00157212939321392,0.00014418306255708,0.016880331356498,-0.0164623084183199,-0.00874386572624414,-0.00157212939321392,0.007366573775595,-2.47593542736911e-16,-0.000144726857049804,0.00014418306255708,0.00014418306255708,0.00014418306255708,-2.47593542736911e-16,0.000204525
10.6194111489888,-0.571189631780553,-0.157953708343695,0.000588832616547024,0.0168998091228122,-0.000145871851409655,-0.571189631780553,11.2725619057286,4.36143627221567,0.332092795726127,-0.0163102177081349,0.000143138785140648,-0.157953708343695,4.36143627221567,2.0912035199727,0.18181144984768,-0.00866126461038019,0.000143138785140648,0.000588832616547024,0.332092795726127,0.18181144984768,0.0423954149866587,-0.00156074290168064,0.000143138785140648,0.0168998091228122,-0.0163102177081349,-0.00866126461038019,-0.00156074290168064,0.007366573775595,-2.45994495281831e-16,-0.000145871851409655,0.000143138785140648,0.000143138785140648,0.000143138785140648,-2.45994495281831e-16,0.000204525
10.6592589548946,-0.560831889837341,-0.155527694541899,0.00120528335022711,0.0169167180628756,-0.000146949881082529,-0.560831889837341,11.270834004007,4.36011711380801,0.331305477079527,-0.0161616979258106,0.000142122492427907,-0.155527694541899,4.36011711380801,2.09029310487903,0.18136195845586,-0.00858072625489576,0.000142122492427907,0.00120528335022711,0.331305477079527,0.18136195845586,0.0424068472966894,-0.00154966154706465,0.000142122492427907,0.0169167180628756,-0.0161616979258106,-0.00858072625489576,-0.00154966154706465,0.007366573775595,-2.44377465447769e-16,-0.000146949881082529,0.000142122492427907,0.000142122492427907,0.000142122492427907,-2.44377465447769e-16,0.000204525
10.6974059578345,-0.55074956608108,-0.153108329518205,0.00180737180104097,0.0169310358630735,-0.000147962054983369,-0.55074956608108,11.2690973089074,4.35879828975498,0.330519176664065,-0.0160169171693149,0.000141135510986943,-0.153108329518205,4.35879828975498,2.08939215187252,0.180916994261415,-0.00850236437581433,0.000141135510986943,0.00180737180104097,0.330519176664065,0.180916994261415,0.0424178719143048,-0.0015388997938713,0.000141135510986943,0.0169310358630735,-0.0160169171693149,-0.00850236437581433,-0.0015388997938713,0.007366573775595,-2.42742889107031e-16,-0.000147962054983369,0.000141135510986943,0.000141135510986943,0.000141135510986943,-2.42742889107031e-16,0.000204525
10.7338120443314,-0.54096902603363,-0.15070188081138,0.00239414280375717,0.0169430421725164,-0.000148910818880381,-0.54096902603363,11.2673637080538,4.35748729136351,0.32973583549082,-0.0158759297556258,0.000140177726738933,-0.15070188081138,4.35748729136351,2.08850375594317,0.180478108812395,-0.00842622766292589,0.000140177726738933,0.00239414280375717,0.32973583549082,0.180478108812395,0.0424284969456148,-0.00152845639821889,0.000140177726738933,0.0169430421725164,-0.0158759297556258,-0.00842622766292589,-0.00152845639821889,0.007366573775595,-2.41091199714086e-16,-0.000148910818880381,0.000140177726738933,0.000140177726738933,0.000140177726738933,-2.41091199714086e-16,0.000204525
10.7686360963428,-0.531467420417515,-0.148301269939484,0.00296576636480626,0.0169526941948779,-0.000149796664048204,-0.531467420417515,11.2656453707177,4.35619197219765,0.328957995174536,-0.015739063590811,0.000139251257179089,-0.148301269939484,4.35619197219765,2.08763145494758,0.180047062717769,-0.00835250558675407,0.000139251257179089,0.00296576636480626,0.328957995174536,0.180047062717769,0.042438705751953,-0.00151835444864782,0.000139251257179089,0.0169526941948779,-0.015739063590811,-0.00835250558675407,-0.00151835444864782,0.007366573775595,-2.39422828236895e-16,-0.000149796664048204,0.000139251257179089,0.000139251257179089,0.000139251257179089,-2.39422828236895e-16,0.000204525
10.8017852739431,-0.522283509786799,-0.145916384682926,0.00352160808039378,0.0169601971130911,-0.000150622499242745,-0.522283509786799,11.2639492060276,4.35491645425405,0.328185967463897,-0.0156062592323219,0.000138355633489081,-0.145916384682926,4.35491645425405,2.08677658375052,0.179624529399967,-0.00828118483176586,0.000138355633489081,0.00352160808039378,0.328185967463897,0.179624529399967,0.0424485103134172,-0.00150858883330193,0.000138355633489081,0.0169601971130911,-0.0156062592323219,-0.00828118483176586,-0.00150858883330193,0.007366573775595,-2.37738203090301e-16,-0.000150622499242745,0.000138355633489081,0.000138355633489081,0.000138355633489081,-2.37738203090301e-16,0.000204525
10.8333246716198,-0.513417877301891,-0.143545874688102,0.00406147549449893,0.0169656058557714,-0.000151389714508159,-0.513417877301891,11.2622846352143,4.3536669282131,0.327421625944599,-0.0154777093653231,0.000137492061862212,-0.143545874688102,4.3536669282131,2.08594210248191,0.17921198565241,-0.00821238506705325,0.000137492061862212,0.00406147549449893,0.327421625944599,0.17921198565241,0.0424579040869058,-0.00149917270415559,0.000137492061862212,0.0169656058557714,-0.0154777093653231,-0.00821238506705325,-0.00149917270415559,0.007366573775595,-2.36037750071475e-16,-0.000151389714508159,0.000137492061862212,0.000137492061862212,0.000137492061862212,-2.36037750071475e-16,0.000204525
