time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
2.9,0.436287386,-0.094906275,-0.538406407,-1.044918064,0.070361046,0.033928903,-0.00643917,-0.714677211,0.311884509,-0.009853894,0.301836345,-0.182717369
3,0.431678228,-0.164173988,-0.509779788,-1.042879413,0.100109374,0.013271214,-0.086665125,-0.665047255,0.256572443,0.047721563,0.288407881,-0.231059597
3.1,0.418842096,-0.226785475,-0.487817005,-1.035948441,0.127094865,-0.012370056,-0.170238664,-0.581564202,0.179560733,0.088102702,0.246611576,-0.281998307
3.2,0.397674983,-0.279386608,-0.474377736,-1.025789142,0.148522768,-0.043130688,-0.252467034,-0.46513181,0.087284617,0.112616082,0.177611615,-0.332994264
3.3,0.368560367,-0.318798643,-0.470616984,-1.01387098,0.161810714,-0.078876477,-0.32834554,-0.318360616,-0.012677396,0.123788201,0.084476308,-0.381212935
3.4,0.332384221,-0.342189301,-0.476895882,-1.00136151,0.164772541,-0.119181877,-0.392885629,-0.145560008,-0.112117046,0.125080405,-0.027973808,-0.423691459
3.5,0.290516295,-0.347238206,-0.49274651,-0.989048959,0.155781028,-0.163326188,-0.441457316,0.047367022,-0.20275702,0.120558699,-0.153434137,-0.457520565
3.6,0.244757407,-0.332286934,-0.516893606,-0.97730005,0.133898632,-0.2103082,-0.470122905,0.253125987,-0.276821691,0.114523588,-0.284484388,-0.480029912
3.7,0.197254754,-0.296464242,-0.547332261,-0.966055691,0.09896729,-0.258879056,-0.475939043,0.46332344,-0.327579902,0.11112766,-0.413034606,-0.488965028
3.8,0.150389505,-0.239778018,-0.581456967,-0.954864328,0.051650877,-0.307591897,-0.457205683,0.668837661,-0.349823506,0.114009253,-0.530821277,-0.482644374
3.9,0.106642933,-0.163166965,-0.616233948,-0.942949999,-0.006573178,-0.3548658,-0.413643632,0.86024995,-0.340249392,0.125969282,-0.629922626,-0.46008626
4,0.06844897,-0.068507013,-0.648405741,-0.929309527,-0.07347342,-0.399060518,-0.346486577,1.028314639,-0.297718863,0.148715131,-0.7032608,-0.421097104
4.1,0.038042221,0.041430151,-0.674714792,-0.912831151,-0.14617213,-0.43855786,-0.258478842,1.164442691,-0.223376118,0.182690752,-0.745059293,-0.366314864
4.2,0.01731107,0.163066496,-0.692131422,-0.892425265,-0.221295367,-0.471845012,-0.153776014,1.261172038,-0.120616637,0.227006011,-0.751226599,-0.297204229
4.3,0.007665451,0.292152286,-0.698071121,-0.867156978,-0.295156643,-0.497594935,-0.03775186,1.312597589,0.005093996,0.279471328,-0.719641511,-0.216003101
4.4,0.009928253,0.42394063,-0.690586623,-0.836369972,-0.363963401,-0.514739067,0.083278954,1.314735247,0.146540593,0.336736228,-0.650321519,-0.125622913
4.5,0.024258047,0.553394171,-0.668521745,-0.799791644,-0.42403399,-0.522527964,0.202407187,1.265797284,0.295198798,0.39452307,-0.545462912,-0.02950819
4.6,0.05010908,0.675414104,-0.631616283,-0.757610736,-0.472012053,-0.520576182,0.312524509,1.166360795,0.441768207,0.447940385,-0.409349143,0.068536726
4.7,0.086232326,0.785080126,-0.580554349,-0.71052052,-0.505065325,-0.508888596,0.406744706,1.019416586,0.576764661,0.491854509,-0.248132112,0.164543788
4.8,0.130718864,0.87788903,-0.516952065,-0.659722966,-0.521056698,-0.487866439,0.478825019,0.830292292,0.691134143,0.521293777,-0.069498939,0.254588799
4.9,0.181084323,0.949979305,-0.443284428,-0.606892036,-0.518677034,-0.458292519,0.523561516,0.606450529,0.776848983,0.531856904,0.117756106,0.334998236
5,0.234390498,0.998329615,-0.362755055,-0.554097144,-0.497531468,-0.421296295,0.537133443,0.357169937,0.827447871,0.520096399,0.304228946,0.402543211
