time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
1.1,0.0402588752136079,0.214795868429093,-0.0676703482967902,-0.445079272200377,0.131434479692318,0.230903048711381,-0.144752565206296,0.0442393489167667,-0.448126035239749,-0.979854078157094,0.0173363017350319,0.166521822445823
1.2,0.0222820751373192,0.21314339619879,-0.117174859207978,-0.545294681491209,0.12924271050635,0.242540537456581,-0.214278418927332,-0.0788521231838999,-0.538685362397896,-1.01778319845442,-0.0623167161108196,0.0630518838388205
1.3,-0.0024018095609506,0.198873830651666,-0.174593340333942,-0.647215920329534,0.118833100095289,0.242975116857572,-0.277966937572618,-0.206473984870234,-0.604870835259568,-1.01319450550014,-0.146102114658497,-0.0565304318052551
1.4,-0.0329391735418554,0.172028064840857,-0.237055887525443,-0.746400950973019,0.100070331383293,0.230913763824766,-0.330516852336572,-0.328717931894557,-0.638333552170614,-0.962718406983962,-0.228450364867607,-0.185710093913874
1.5,-0.0679812562847459,0.133634849121757,-0.300958791951658,-0.838205361072028,0.073373079847741,0.205753237633633,-0.36738514262106,-0.435852516648641,-0.63284731490446,-0.865710286066596,-0.303912974981724,-0.317276677195116
1.6,-0.105776332985624,0.0856587450558131,-0.362204231457362,-0.918061826909778,0.0396840006107766,0.167628280427351,-0.38510108703719,-0.519000517850998,-0.584827317096384,-0.724359427145679,-0.367513697882709,-0.443753260919641
1.7,-0.14428911058523,0.030883901807842,-0.41648248706754,-0.981761312048345,0.00040696115631178,0.11741664274415,-0.381494301567308,-0.570739208677381,-0.493658102511837,-0.543614772500955,-0.415049783479189,-0.557827507147467
1.8,-0.181338213626336,-0.0272569537630218,-0.459576653466598,-1.02571786650554,-0.0426827541080499,0.0567017732546091,-0.355827400284701,-0.58559089248368,-0.361813652816714,-0.330933035583758,-0.443329263010611,-0.652763810891951
1.9,-0.21474198898947,-0.0848959858027758,-0.487668719083103,-1.04719999994202,-0.0875483317861381,-0.0123039073748927,-0.308829579654079,-0.560377894059597,-0.194764995537597,-0.0958656920047156,-0.45033419613066,-0.722776209374196
2,-0.242462778509939,-0.137971672459638,-0.497626072591373,-1.04451376294449,-0.132013686920484,-0.0868702847655456,-0.242633215886412,-0.494424483793656,-0.000683548640104448,0.15048869069086,-0.435304265916451,-0.763343670254676
2.1,-0.262740298954878,-0.18248238324052,-0.487248938351797,-1.01712574623257,-0.173890039222137,-0.163888819933181,-0.160621129884379,-0.389597462751459,0.210039246966629,0.396132055884368,-0.398739799028506,-0.77145234786836
2.2,-0.274205790799922,-0.214735965055159,-0.455461866189538,-0.965718004623207,-0.211098898999612,-0.240031892444719,-0.067197186487757,-0.250186783208584,0.425424368477456,0.62887358171582,-0.342327934223106,-0.745753238293632
2.3,-0.275970080375586,-0.231579805560706,-0.402436041313855,-0.89217119243707,-0.241784145914711,-0.311923364405676,0.032502938789972,-0.0826370355101584,0.632648928812087,0.837051190034635,-0.268799984478072,-0.686628162741561
2.4,-0.267680547244808,-0.230597368882663,-0.329633615939649,-0.799476691728859,-0.264406881181561,-0.376311047817296,0.132940910044923,0.104850672647553,0.818853707246185,1.01022275325887,-0.18173178137641,-0.596161909055922
2.5,-0.249544082585807,-0.210259534727566,-0.239770224193045,-0.691582943504663,-0.277818067510353,-0.430231792123774,0.228523054687563,0.302819504940388,0.971963264904455,1.13978397356401,-0.0853017388482944,-0.478023383573942
2.6,-0.22231533420635,-0.170022066411669,-0.136697022821998,-0.57318527899945,-0.281305552772857,-0.471160439426438,0.313943634712784,0.501127720431526,1.08146678601537,1.21947464758392,0.0159766378994262,-0.3372634830296
2.7,-0.187251723901696,-0.110363996876735,-0.0252086851514264,-0.449472039241487,-0.274613801335885,-0.497134891332351,0.384502711623298,0.689553257316365,1.13911032717446,1.2457421425786,0.117530147100685,-0.180041810805655
2.8,-0.146038760828706,-0.0327654381108147,0.0892115463713026,-0.32584245055633,-0.257936422524843,-0.506850936575042,0.436379402505236,0.858394409849041,1.13945671374278,1.21793994567657,0.21499171242134,-0.0132980818159663
2.9,-0.100690939466446,0.0603729409168281,0.200694658708869,-0.207613426747509,-0.231883279753927,-0.499722221985415,0.466844603169936,0.999029854260497,1.08027755235261,1.13834953568912,0.304440398965913,0.155613125290759
3,-0.0534349003609513,0.165862988097135,0.303318378636156,-0.0997330923911317,-0.197425484015092,-0.475902712183853,0.474401439656932,1.10440443361982,0.962752224132311,1.01202491293478,0.382601603826361,0.319303858554575
