time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d,q1d2,q2d2,q3d2,q4d2,q5d2,q6d2
0.33,0.00877253630441999,-1.5594021751354,0.00256115246456901,-1.56655740454247,0.00220575290163083,0.000347633372463463,0.0751049650028994,0.0982512608545889,0.020880878584375,0.0371616537824018,0.0183281821314001,-0.002247226172436,0.398928306412671,0.530927973109707,0.0977158439610546,0.207679277501716,0.090865355441867,-0.0753738406393509
0.34,0.00954364781664196,-1.55839294672502,0.0027748529361542,-1.56617532836158,0.00239359468851319,0.00032126960886103,0.0791287567064902,0.103611216871162,0.0218597434943106,0.0392611006986598,0.0192418074366465,-0.00303790283800254,0.405779885128667,0.541005377500471,0.0980325160452096,0.212190241337814,0.0918446928714944,-0.0827995018433887
0.35,0.0103553348149035,-1.5573296206653,0.00299835543211202,-1.56577203415419,0.002590620199868,0.000286624023416948,0.0832195617195266,0.109070213028946,0.0228410380126114,0.0414050595587554,0.0201647780567464,-0.00390396488099753,0.412331170179998,0.55073617082224,0.0982019211929501,0.216581491039863,0.0927346510051246,-0.0904497639859674
0.36,0.0112082524380384,-1.55621122386829,0.0032316769008407,-1.56534708280395,0.00279691844313135,0.000242931647562727,0.0873743832676022,0.11462478838278,0.0238232941800902,0.0435923280140038,0.0210962071927492,-0.00484762371927872,0.418583404597329,0.560121394319414,0.0982250057799088,0.22085199010516,0.0935366302516969,-0.098317706089416
0.37,0.0121030259204247,-1.55503681780252,0.00347481965889962,-1.56490004726937,0.00301256962804075,0.000189405744905002,0.0915902373237296,0.120271492643841,0.0248050536312334,0.045821693500276,0.0220352220971813,-0.00587102148372054,0.424537894797328,0.569162137989109,0.098102742140052,0.225000732010042,0.0942520404159151,-0.106396392026169
0.38,0.0130402507225398,-1.55380549838416,0.0037277714882471,-1.56443051268437,0.00323764530738657,0.000125238504757874,0.0958641532411102,0.126006886666538,0.0257848678532966,0.0480919335398369,0.0229809641655727,-0.00697623087534538,0.430196010364119,0.577859540466468,0.0978361284799387,0.229026740631649,0.0948823002127295,-0.114678872236092
0.39,0.0140204926677114,-1.55251639586307,0.00399050573604676,-1.56393807645598,0.00347220851905661,4.96017370750224e-05,0.100193174383649,0.131827542934303,0.0267612984445371,0.0504018160474651,0.0239325890231248,-0.00816525503955035,0.435559183811023,0.586214788898557,0.097426188785229,0.232929070660241,0.0954288367808882,-0.123158185446686
0.4,0.0150442880859032,-1.55116867470408,0.00426298141707449,-1.5634223483588,0.00371631392867044,-3.83524313107841e-05,0.10457435875395,0.137730046044059,0.027732917371587,0.0527500996405799,0.024889266606519,-0.00944002745763584,0.440628910322528,0.594229118806823,0.0968739727194547,0.236706808001937,0.0958930851957946,-0.131827360395688
0.41,0.0161121439626726,-1.54976153346352,0.00454514331869049,-1.56288295062647,0.00397000797308067,-0.000139490859766056,0.109004779618673,0.143710993189178,0.0286983072256319,0.0551355339533757,0.0258501812408394,-0.0108024118555647,0.445406747476662,0.601903813938196,0.0961805555150586,0.24035907017176,0.0962764879818123,-0.140679417555573
0.42,0.0172245380952916,-1.54829420466078,0.00483692210834619,-1.56231951803985,0.00423332900466988,-0.000254698695783873,0.113481526131006,0.149766994640959,0.029656061477553,0.0575568599548717,0.0268145317116222,-0.0122542021297889,0.449894314947751,0.609240206104824,0.0953470378567225,0.243885006676843,0.0965804946241251,-0.149707370859523
0.43,0.0183819192544092,-1.54676595464515,0.0051382344436508,-1.5617316980121,0.00450630743618774,-0.000384878676406686,0.118001703950037,0.155894674228445,0.0306047847318318,0.0600128102706279,0.0277815313320335,-0.0137971222906401,0.454093294189666,0.616239675012488,0.0943745457569942,0.247283799389678,0.0968065610803999,-0.158904229428359
0.44,0.0195847073526068,-1.54517608345782,0.00544898308499597,-1.56111915067051,0.00478896588651168,-0.00053095042925122,0.122562435856904,0.162090669816457,0.0315430929791418,0.062502109508344,0.0287504080051395,-0.0154328264228383,0.458005428099624,0.622903648077714,0.0932642304242275,0.250554662911296,0.0969561492923283,-0.168262999297985
0.45,0.0208332936181819,-1.54352392468921,0.00576905701064589,-1.56048154893498,0.00508131932668476,-0.00069384977299336,0.12716086236746,0.168351633781707,0.0324696138476526,0.0650234745867806,0.0297204042813028,-0.0171628986631447,0.461632520662633,0.629233600233643,0.0920172681228724,0.253696844924247,0.0970307266972545,-0.177776685146867
0.46,0.0221280407760531,-1.54180884533142,0.00609833153439077,-1.55981857859331,0.00538337522667831,-0.000874528017938303,0.131794142341293,0.174674233487007,0.0333829868528639,0.0675756150683995,0.0306907774107081,-0.0189888531956157,0.464976436576642,0.635231053724673,0.0906348600261138,0.256709626535271,0.0970317657400344,-0.187438292023061
0.47,0.0234692832337657,-1.54003024562604,0.00643666842562496,-1.55912993837305,0.00569513370274422,-0.00107395126649834,0.136459453586896,0.181055151753245,0.0342818636458802,0.0701572334952445,0.0316607993909965,-0.0209121342637744,0.468039100858548,0.640897577889913,0.0891182320609103,0.259592322607554,0.0969607433852726,-0.197240827070335
0.48,0.0248573272743045,-1.53818755890715,0.00678391603197959,-1.55841534001002,0.00601658766499469,-0.00129309971386959,0.141153993462823,0.187491087329221,0.0351649082601995,0.0727670257280799,0.0326297570100182,-0.0229341162002044,0.47082249843109,0.646234788935549,0.0874686347454331,0.262344282082446,0.0968191406301186,-0.207177301252929
0.49,0.0262924512544913,-1.53628025143983,0.0071399094043354,-1.5576745083134,0.00634772296547226,-0.00153296694935534,0.145874979474584,0.193978755359186,0.0360307973567302,0.0754036812888188,0.0335969518837329,-0.0250561034734815,0.473328673690783,0.651244349696061,0.085687343018967,0.264964888290547,0.0966084420177573,-0.21724073107842
0.5,0.0277749058093804,-1.53430782225369,0.00750447042436519,-1.55690718122742,0.00668851854676689,-0.00179455925777461,0.150619649867153,0.200514887847788,0.0368782204671483,0.0780658837058468,0.0345617004892436,-0.0272793307521582,0.475559730056982,0.655927969384455,0.0837756560642698,0.267453559252056,0.096330135151752,-0.227424140318307
0.51,0.0293049140625783,-1.5322698029722,0.00787740793438729,-1.55611310988956,0.00703894659058335,-0.00207889492197211,0.155385264212869,0.207096234122645,0.0377058802354,0.0807523108624473,0.0355233341929555,-0.0296049629858999,0.477517829502222,0.660287403331507,0.08173489712246,0.269809747966285,0.0959857102114237,-0.237720561725773
